,ID,Name,Question,ColumnID,ColumnName,QID_x,RowID,RowName,QID_y
0,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,0,"""11:00 AM""",5
1,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,1,"""12:00 PM""",5
2,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,2,"""1:00 PM""",5
3,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,3,"""2:00 PM""",5
4,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,4,"""3:00 PM""",5
5,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,5,"""4:00 PM""",5
6,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,6,"""5:00 PM""",5
7,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,7,"""6:00 PM""",5
8,5,Availability,What times are you possibly available to play games?,0,"""Monday""",5,8,"""7:00 PM""",5
9,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,0,"""11:00 AM""",5
10,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,1,"""12:00 PM""",5
11,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,2,"""1:00 PM""",5
12,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,3,"""2:00 PM""",5
13,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,4,"""3:00 PM""",5
14,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,5,"""4:00 PM""",5
15,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,6,"""5:00 PM""",5
16,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,7,"""6:00 PM""",5
17,5,Availability,What times are you possibly available to play games?,1,"""Tuesday""",5,8,"""7:00 PM""",5
18,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,0,"""11:00 AM""",5
19,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,1,"""12:00 PM""",5
